"BehaviorSpace results (NetLogo 6.0.4)"
"Cederman_IR.nlogo"
"experiment"
"05/30/2019 09:46:53:395 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","9","0","9"
"[run number]","victory-ratio","initial-resource-mean","superiority-ratio","harvest-std-dev","harvest-mean","proportion-predators","initial-resource-std-dev","defensive-alliances?","[step]","count states","count states with [count control-link-neighbors > 1]","count states with [count control-link-neighbors > 10]","count states with [count control-link-neighbors > 50]"
"3","2","50","2","5","2","0.05","10","true","1000","99","1","0","0"
"4","2","50","2","5","2","0.05","10","true","1000","100","0","0","0"
"2","2","50","2","5","2","0.05","10","true","1000","98","2","0","0"
"1","2","50","2","5","2","0.05","10","true","1000","94","2","0","0"
"5","2","50","2","5","2","0.05","10","true","1000","6","2","1","1"
"6","2","50","2","5","2","0.05","10","true","1000","77","4","1","0"
"7","2","50","2","5","2","0.05","10","true","1000","72","11","1","0"
"8","2","50","2","5","2","0.05","10","true","1000","99","1","0","0"
"10","2","50","2","5","2","0.05","10","true","1000","12","4","2","0"
"9","2","50","2","5","2","0.05","10","true","1000","81","4","1","0"
"11","2","50","2","5","2","0.05","10","true","1000","97","3","0","0"
"12","2","50","2","5","2","0.05","10","true","1000","100","0","0","0"
"14","2","50","2","5","2","0.05","10","true","1000","99","1","0","0"
"13","2","50","2","5","2","0.05","10","true","1000","95","4","0","0"
"15","2","50","2","5","2","0.05","10","true","1000","97","2","0","0"
"16","2","50","2","5","2","0.05","10","true","1000","77","4","1","0"
"17","2","50","2","5","2","0.05","10","true","1000","12","10","2","1"
"18","2","50","2","5","2","0.05","10","true","1000","99","1","0","0"
"19","2","50","2","5","2","0.05","10","true","1000","98","2","0","0"
"20","2","50","2","5","2","0.05","10","true","1000","87","2","1","0"
"21","2","50","2","5","2","0.1","10","true","1000","85","10","0","0"
"22","2","50","2","5","2","0.1","10","true","1000","82","12","0","0"
"23","2","50","2","5","2","0.1","10","true","1000","62","13","0","0"
"25","2","50","2","5","2","0.1","10","true","1000","93","3","0","0"
"24","2","50","2","5","2","0.1","10","true","1000","94","3","0","0"
"26","2","50","2","5","2","0.1","10","true","1000","85","4","1","0"
"27","2","50","2","5","2","0.1","10","true","1000","97","3","0","0"
"28","2","50","2","5","2","0.1","10","true","1000","32","11","2","0"
"29","2","50","2","5","2","0.1","10","true","1000","15","10","3","0"
"30","2","50","2","5","2","0.1","10","true","1000","93","5","0","0"
"31","2","50","2","5","2","0.1","10","true","1000","97","3","0","0"
"32","2","50","2","5","2","0.1","10","true","1000","88","4","0","0"
"33","2","50","2","5","2","0.1","10","true","1000","93","6","0","0"
"34","2","50","2","5","2","0.1","10","true","1000","96","3","0","0"
"35","2","50","2","5","2","0.1","10","true","1000","78","3","1","0"
"36","2","50","2","5","2","0.1","10","true","1000","89","4","0","0"
"37","2","50","2","5","2","0.1","10","true","1000","93","4","0","0"
"38","2","50","2","5","2","0.1","10","true","1000","77","4","0","0"
"39","2","50","2","5","2","0.1","10","true","1000","93","7","0","0"
"40","2","50","2","5","2","0.1","10","true","1000","85","6","0","0"
"42","2","50","2","5","2","0.15","10","true","1000","67","12","0","0"
"41","2","50","2","5","2","0.15","10","true","1000","81","13","0","0"
"43","2","50","2","5","2","0.15","10","true","1000","46","9","2","0"
"44","2","50","2","5","2","0.15","10","true","1000","73","8","1","0"
"45","2","50","2","5","2","0.15","10","true","1000","65","9","1","0"
"46","2","50","2","5","2","0.15","10","true","1000","50","13","1","0"
"47","2","50","2","5","2","0.15","10","true","1000","43","10","2","0"
"48","2","50","2","5","2","0.15","10","true","1000","98","2","0","0"
"49","2","50","2","5","2","0.15","10","true","1000","53","6","1","0"
"51","2","50","2","5","2","0.15","10","true","1000","87","5","0","0"
"52","2","50","2","5","2","0.15","10","true","1000","21","9","2","0"
"50","2","50","2","5","2","0.15","10","true","1000","86","6","0","0"
"53","2","50","2","5","2","0.15","10","true","1000","85","8","0","0"
"54","2","50","2","5","2","0.15","10","true","1000","78","5","1","0"
