"BehaviorSpace results (NetLogo 6.0.4)"
"Cederman_IR.nlogo"
"Cederman's Params"
"05/23/2019 02:15:59:328 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","9","0","9"
"[run number]","initial-resource-mean","victory-ratio","superiority-ratio","harvest-std-dev","harvest-mean","proportion-predators","initial-resource-std-dev","[step]","count states","count states with [count control-link-neighbors > 1]","count states with [count control-link-neighbors > 2]","count states with [count control-link-neighbors > 5]","count states with [count control-link-neighbors > 10]","count states with [count control-link-neighbors > 20]","count states with [count control-link-neighbors > 30]"
"2","50","2","2","5","2","0.05","10","1000","82","4","4","1","0","0","0"
"1","50","2","2","5","2","0.05","10","1000","86","4","4","1","0","0","0"
"4","50","2","2","5","2","0.05","10","1000","95","3","2","0","0","0","0"
"3","50","2","2","5","2","0.05","10","1000","96","3","1","0","0","0","0"
"5","50","2","2","5","2","0.05","10","1000","97","3","0","0","0","0","0"
"6","50","2","2","5","2","0.05","10","1000","94","3","3","0","0","0","0"
"7","50","2","2","5","2","0.05","10","1000","99","1","0","0","0","0","0"
"8","50","2","2","5","2","0.05","10","1000","98","2","0","0","0","0","0"
"9","50","2","2","5","2","0.05","10","1000","99","1","0","0","0","0","0"
"10","50","2","2","5","2","0.05","10","1000","92","5","1","0","0","0","0"
"11","50","2","2","5","2","0.05","10","1000","85","4","2","1","1","0","0"
"12","50","2","2","5","2","0.05","10","1000","81","4","2","1","1","0","0"
"14","50","2","2","5","2","0.05","10","1000","98","1","1","0","0","0","0"
"13","50","2","2","5","2","0.05","10","1000","99","1","0","0","0","0","0"
"15","50","2","2","5","2","0.05","10","1000","98","1","1","0","0","0","0"
"16","50","2","2","5","2","0.05","10","1000","100","0","0","0","0","0","0"
"17","50","2","2","5","2","0.05","10","1000","97","2","1","0","0","0","0"
"18","50","2","2","5","2","0.05","10","1000","100","0","0","0","0","0","0"
"19","50","2","2","5","2","0.05","10","1000","93","1","1","1","0","0","0"
"20","50","2","2","5","2","0.05","10","1000","61","2","2","1","1","1","1"
"21","50","2","2","5","2","0.05","10","1000","92","5","3","0","0","0","0"
"22","50","2","2","5","2","0.05","10","1000","98","1","1","0","0","0","0"
"23","50","2","2","5","2","0.05","10","1000","91","3","3","0","0","0","0"
"24","50","2","2","5","2","0.05","10","1000","2","2","2","2","2","2","2"
"26","50","2","2","5","2","0.05","10","1000","9","3","3","3","3","1","1"
"25","50","2","2","5","2","0.05","10","1000","57","5","4","4","2","0","0"
"27","50","2","2","5","2","0.05","10","1000","91","2","2","1","0","0","0"
"28","50","2","2","5","2","0.05","10","1000","88","4","2","1","0","0","0"
"29","50","2","2","5","2","0.05","10","1000","36","4","4","4","2","2","1"
"30","50","2","2","5","2","0.05","10","1000","81","2","2","1","1","0","0"
"31","50","2","2","5","2","0.05","10","1000","92","2","2","0","0","0","0"
"33","50","2","2","5","2","0.05","10","1000","62","3","2","2","2","0","0"
"32","50","2","2","5","2","0.05","10","1000","97","3","0","0","0","0","0"
"34","50","2","2","5","2","0.05","10","1000","99","1","0","0","0","0","0"
"35","50","2","2","5","2","0.05","10","1000","96","2","2","0","0","0","0"
"36","50","2","2","5","2","0.05","10","1000","97","1","1","0","0","0","0"
"38","50","2","2","5","2","0.05","10","1000","96","2","2","0","0","0","0"
"37","50","2","2","5","2","0.05","10","1000","99","1","0","0","0","0","0"
"39","50","2","2","5","2","0.05","10","1000","99","1","0","0","0","0","0"
"40","50","2","2","5","2","0.05","10","1000","92","5","2","0","0","0","0"
"41","50","2","2","5","2","0.05","10","1000","99","1","0","0","0","0","0"
"42","50","2","2","5","2","0.05","10","1000","98","2","0","0","0","0","0"
"43","50","2","2","5","2","0.05","10","1000","100","0","0","0","0","0","0"
"44","50","2","2","5","2","0.05","10","1000","93","3","1","1","0","0","0"
"45","50","2","2","5","2","0.05","10","1000","94","3","2","0","0","0","0"
"46","50","2","2","5","2","0.05","10","1000","98","1","1","0","0","0","0"
